Name,Year,Department
Jack Kilby,2000,Physics
Alan J. Heeger,2000,Chemistry
Gao Xingjian,2000,Literature
Kim Dae-jung,2000,Peace
James Heckman,2000,Economics
Arvid Carlsson,2000,Medicine
Eric Allin Cornell,2001,Physics
William Standish Knowles,2001,Chemistry
V. S. Naipaul,2001,Literature
United Nations,2001,Peace
George Akerlof,2001,Economics
Leland H. Hartwell,2001,Medicine
Riccardo Giacconi,2002,Physics
John B. Fenn,2002,Chemistry
Imre Kertész,2002,Literature
Jimmy Carter,2002,Peace
Daniel Kahneman,2002,Economics
Sydney Brenner,2002,Medicine
Alexei Abrikosov,2003,Physics
Peter Agre,2003,Chemistry
J. M. Coetzee,2003,Literature
Shirin Ebadi,2003,Peace
Robert F. Engle,2003,Economics
Paul Lauterbur,2003,Medicine
David Gross,2004,Physics
Aaron Ciechanover,2004,Chemistry
Elfriede Jelinek,2004,Literature
Wangari Maathai,2004,Peace
Finn E. Kydland,2004,Economics
Richard Axel,2004,Medicine
Roy J. Glauber,2005,Physics
Yves Chauvin,2005,Chemistry
Harold Pinter,2005,Literature
International Atomic Energy Agency,2005,Peace
Robert Aumann,2005,Economics
Barry Marshall,2005,Medicine
John C. Mather,2006,Physics
Roger D. Kornberg,2006,Chemistry
Orhan Pamuk,2006,Literature
Muhammad Yunus,2006,Peace
Edmund Phelps,2006,Economics
Andrew Fire,2006,Medicine
Albert Fert,2007,Physics
Gerhard Ertl,2007,Chemistry
Doris Lessing,2007,Literature
Intergovernmental Panel on Climate Change,2007,Peace
Leonid Hurwicz,2007,Economics
Mario Capecchi,2007,Medicine
Yoichiro Nambu,2008,Physics
Osamu Shimomura,2008,Chemistry
J. M. G. Le Clézio,2008,Literature
Martti Ahtisaari,2008,Peace
Paul Krugman,2008,Economics
Harald zur Hausen,2008,Medicine
Charles K. Kao,2009,Physics
Venkatraman Ramakrishnan,2009,Chemistry
Herta Müller,2009,Literature
Barack Obama,2009,Peace
Elinor Ostrom,2009,Economics
Elizabeth Blackburn,2009,Medicine
Andre Geim,2010,Physics
Richard F. Heck,2010,Chemistry
Mario Vargas Llosa,2010,Literature
Liu Xiaobo[g],2010,Peace
Peter A. Diamond,2010,Economics
Robert Edwards,2010,Medicine
Saul Perlmutter,2011,Physics
Dan Shechtman,2011,Chemistry
Tomas Tranströmer,2011,Literature
Ellen Johnson Sirleaf,2011,Peace
Thomas J. Sargent,2011,Economics
Bruce Beutler,2011,Medicine
Serge Haroche,2012,Physics
Brian K. Kobilka,2012,Chemistry
Mo Yan,2012,Literature
European Union,2012,Peace
Alvin E. Roth,2012,Economics
John B. Gurdon,2012,Medicine
François Englert,2013,Physics
Martin Karplus,2013,Chemistry
Alice Munro,2013,Literature
Organisation for the Prohibition of Chemical Weapons,2013,Peace
Eugene F. Fama,2013,Economics
James E. Rothman,2013,Medicine
Isamu Akasaki,2014,Physics
Eric Betzig,2014,Chemistry
Patrick Modiano,2014,Literature
Kailash Satyarthi,2014,Peace
Jean Tirole,2014,Economics
John O'Keefe,2014,Medicine
Takaaki Kajita,2015,Physics
Tomas Lindahl,2015,Chemistry
Svetlana Alexievich,2015,Literature
Tunisian National Dialogue Quartet,2015,Peace
Angus Deaton,2015,Economics
William C. Campbell,2015,Medicine
David J. Thouless,2016,Physics
Jean-Pierre Sauvage,2016,Chemistry
Bob Dylan,2016,Literature
Juan Manuel Santos,2016,Peace
Oliver Hart,2016,Economics
Yoshinori Ohsumi,2016,Medicine
Rainer Weiss,2017,Physics
Jacques Dubochet,2017,Chemistry
Kazuo Ishiguro,2017,Literature
International Campaign to Abolish Nuclear Weapons,2017,Peace
Richard Thaler,2017,Economics
Jeffrey C. Hall,2017,Medicine
Arthur Ashkin,2018,Physics
Frances H. Arnold,2018,Chemistry
Olga Tokarczuk[h],2018,Literature
Denis Mukwege,2018,Peace
William Nordhaus,2018,Economics
James P. Allison,2018,Medicine
Jim Peebles,2019,Physics
John B. Goodenough,2019,Chemistry
Peter Handke,2019,Literature
Abiy Ahmed,2019,Peace
Abhijit Banerjee,2019,Economics
William Kaelin Jr.,2019,Medicine
Roger Penrose,2020,Physics
Emmanuelle Charpentier,2020,Chemistry
Louise Glück,2020,Literature
World Food Programme,2020,Peace
Paul Milgrom,2020,Economics
Harvey J. Alter,2020,Medicine
Giorgio Parisi,2021,Physics
Benjamin List,2021,Chemistry
Abdulrazak Gurnah,2021,Literature
Maria Ressa,2021,Peace
David Card,2021,Economics
David Julius,2021,Medicine
Alain Aspect,2022,Physics
Carolyn Bertozzi,2022,Chemistry
Annie Ernaux,2022,Literature
Ales Bialiatski,2022,Peace
Ben Bernanke,2022,Economics
Svante Pääbo,2022,Medicine
Pierre Agostini,2023,Physics
Moungi Bawendi,2023,Chemistry
Jon Fosse,2023,Literature
Narges Mohammadi,2023,Peace
Claudia Goldin,2023,Economics
Katalin Karikó,2023,Medicine
John Hopfield,2024,Physics
David Baker,2024,Chemistry
Han Kang,2024,Literature
Nihon Hidankyo,2024,Peace
Daron Acemoglu,2024,Economics
Victor Ambros,2024,Medicine
